,y_test,prediction
4931,1426.1436,2680.25
4148,1201.769,2521.5625
7423,1836.2764,2260.1875
4836,2410.8618,2300.28125
944,1549.9824,3067.90625
154,3169.208,3595.75
7230,2036.6822,2958.875
3472,824.9262,1978.53125
2294,378.1744,1433.90625
2588,1573.9512,1784.5625
2087,2474.7786,1869.65625
7318,101.8674,268.9375
6126,894.8352,1611.15625
4164,1491.392,2398.6875
6572,1390.1904,2034.0625
693,1707.777,1449.40625
1270,1853.5872,2476.34375
5893,2404.8696,2809.9375
1624,5528.1374,3846.53125
5223,12117.56,5359.5625
2972,4767.128,3600.21875
6814,185.7582,1846.46875
1555,187.0898,1216.65625
8275,772.328,1547.34375
3760,1324.2762,2115.46875
3161,2036.6822,1572.21875
5225,6574.775,5549.90625
1570,5285.1204,4101.90625
4285,773.6596,863.78125
1835,6615.3888,3822.9375
4266,1022.6688,1438.5625
2740,2797.6916,4076.1875
4312,3099.9648,2681.96875
2379,1720.4272,3352.4375
821,3338.3212,2335.0
5862,1061.951,1449.5625
5108,4567.388,4038.3125
7149,6474.2392,5378.875
2060,1145.1760000000002,1901.0
1571,2804.3496,1718.21875
3879,945.436,1265.40625
1889,1255.0330000000001,2291.5
528,5206.556,3703.71875
7060,5842.395,3779.5625
5845,3379.6008,2980.8125
5860,477.3786,699.125
4861,113.8518,-202.9375
1824,992.0419999999999,1302.34375
1098,5259.82,4153.3125
5530,1704.4479999999999,1530.4375
1921,117.8466,95.6875
8517,3608.636,2837.96875
4908,729.051,598.09375
2006,2422.1804,2408.4375
98,4363.6532,3790.46875
7140,753.0198,736.34375
1003,713.0718,506.90625
3162,683.1108,616.53125
4376,195.7452,-194.0625
3930,3159.8868,3603.15625
5973,1348.245,1457.1875
4276,1803.6522,1254.25
6789,5932.278,2565.78125
8116,71.9064,-966.625
2030,2270.3779999999997,1703.34375
3484,303.6048,533.96875
233,2603.278,2402.6875
4511,5773.1518,3169.03125
852,2691.8294,3248.5625
1364,476.04699999999997,472.34375
257,193.082,1631.0
5809,2460.7968,1619.9375
3810,121.8414,111.78125
379,4274.436,3401.375
7273,412.796,-124.1875
6787,4625.9784,4067.09375
2645,3006.087,2219.78125
1589,4950.8888,3557.71875
5198,529.311,2408.90625
3909,2184.4898,2087.5625
8236,510.0028,2125.34375
888,2620.5888,2505.5625
5175,981.3892,697.1875
1580,319.584,592.125
4109,2297.01,2450.75
4238,1018.674,610.5
140,1402.1748,2411.28125
6770,3942.8676,3030.5625
4098,1182.4608,3170.53125
4394,937.4464,3620.125
543,1398.18,2148.15625
3412,1168.479,914.71875
3043,1569.9564,1405.59375
6696,6474.2392,5391.5
6565,296.9468,547.4375
2563,2127.8968,3399.46875
4824,5683.2688,4054.8125
6335,2616.594,2991.25
6164,4866.998,2312.0
6095,316.9208,595.78125
4972,355.5372,1497.71875
3535,2994.7684,3352.875
7490,607.2096,565.1875
49,780.3176,1264.0625
7475,1685.8056,2400.75
380,5375.0034,5191.25
7192,1267.0174,1810.0625
4773,3131.9232,3097.0
4088,1629.8784,1337.5
2849,6196.6006,3883.1875
6750,3094.6384,3453.03125
2488,3142.5759999999996,3161.21875
3812,2972.1312,2564.125
916,895.5010000000001,970.25
2539,5259.82,3275.90625
541,231.6984,1243.4375
7275,2922.1962,2012.9375
6192,922.7988,2528.65625
5373,3819.0288,2615.28125
1657,75.9012,340.25
273,5829.7448,4171.90625
7086,392.82199999999995,1259.5625
2337,61.2536,-728.5625
2607,3542.0559999999996,3038.3125
3299,5396.9748,4124.125
2631,1510.0344,4081.125
3776,4349.0056,3142.03125
4153,225.7062,1702.90625
4557,2162.5184,1142.6875
5378,1065.28,3389.21875
6000,7393.0432,4998.59375
7564,802.9548,859.4375
1035,2190.482,2478.875
8440,2960.1468,2442.4375
6539,3281.0624,3808.3125
3434,3778.415,2516.28125
5233,3751.783,1695.375
4061,428.7752,-116.0625
44,373.5138,2041.75
5022,120.5098,49.25
5085,2916.204,3889.59375
3007,3439.5228,2783.28125
7336,1830.95,2327.4375
2434,2006.7212,1488.21875
2580,3629.2758,2578.125
4559,351.5424,953.09375
5615,2375.5744,2339.1875
7019,2466.7889999999998,2238.375
4574,2303.6679999999997,1846.1875
4589,1543.3244,2173.0625
7801,2432.8332,2619.84375
8255,2696.49,1610.0625
7646,790.9704,645.3125
6132,5438.9202,3780.28125
5663,1174.4712,1535.59375
3637,1166.4816,814.09375
2966,143.8128,471.5
6577,761.6752,1724.25
6261,4288.4178,4970.75
4083,1216.4166,4132.59375
4415,5219.872,2977.8125
2643,5976.2208,3645.46875
1132,1901.5248,2368.6875
5686,856.8846,1489.65625
7491,3175.866,2857.15625
938,89.2172,-361.0625
7453,509.337,1051.25
6510,3251.1014,2572.3125
234,605.878,704.46875
722,1780.3492,2069.875
187,778.9860000000001,2275.71875
3526,473.3838,1613.5
4699,6831.108,3714.625
2793,1837.608,1210.15625
6198,3214.4824,3008.78125
2650,2524.0478,2412.53125
7761,1403.5064,1365.28125
3112,886.8456,1566.25
635,5087.3778,4524.9375
7677,2045.3376,4018.25
4413,3900.9222,2405.25
4937,3658.571,1587.3125
5645,2077.2960000000003,2587.53125
